iter	Passed	Remaining
740	110423	11772
741	110592	11625
742	110762	11478
743	110863	11324
744	110964	11170
745	111022	11012
746	111172	10864
747	111336	10716
748	111498	10569
749	111640	10419
750	111783	10270
751	111923	10120
752	112063	9971
753	112204	9821
754	112375	9674
755	112545	9527
756	112703	9379
757	112864	9231
758	112938	9076
759	113090	8928
760	113231	8778
761	113388	8630
762	113536	8481
763	113684	8332
764	113823	8183
765	113965	8034
766	114133	7886
767	114280	7737
768	114432	7589
769	114583	7440
770	114740	7292
771	114908	7144
772	115070	6996
773	115206	6846
774	115371	6699
775	115475	6547
776	115631	6399
777	115786	6250
778	115939	6102
779	116097	5953
780	116239	5804
781	116395	5656
782	116497	5504
783	116623	5355
784	116730	5204
785	116796	5052
786	116902	4901
787	117058	4753
788	117176	4603
789	117319	4455
790	117464	4306
791	117609	4157
792	117758	4009
793	117906	3860
794	118048	3712
795	118209	3564
796	118368	3415
797	118527	3267
798	118577	3116
799	118665	2966
800	118791	2817
801	118953	2669
802	119103	2521
803	119250	2373
804	119366	2224
805	119509	2075
806	119658	1927
807	119741	1778
808	119888	1630
809	120034	1481
810	120190	1333
811	120305	1185
812	120458	1037
813	120608	889
814	120762	740
815	120865	592
816	121033	444
817	121174	296
818	121320	148
819	121467	0
